N;Longeur S‚pale ;Longeur P‚tale;Type de Fleurs;Sortie O
5;1.5;50;Iris-setosa;1
1;1.6;52;Iris-versicolor;1
7;1.6;62;Iris-setosa;0
2;1.7;65;Iris-versicolor;0
3;5,5;4;Iris-versicolor;1
4;6,5;4,6;Iris-versicolor;1
11;4,6;1,4;Iris-setosa;0
12;5;1,5;Iris-setosa;0
13;4,4;1,4;Iris-setosa;0
14;4,9;1,5;Iris-setosa;0
15;5,4;1,5;Iris-setosa;0
16;4,8;1,6;Iris-setosa;0
17;4,8;1,4;Iris-setosa;0
18;4,3;1,1;Iris-setosa;0
19;5,8;1,2;Iris-setosa;0
20;5,7;1,5;Iris-setosa;0
21;5,4;1,3;Iris-setosa;0
22;5,1;1,4;Iris-setosa;0
23;5,7;1,7;Iris-setosa;0
24;5,1;1,5;Iris-setosa;0
25;5,4;1,7;Iris-setosa;0
26;5,1;1,5;Iris-setosa;0
27;4,6;1;Iris-setosa;0
28;5,1;1,7;Iris-setosa;0
29;4,8;1,9;Iris-setosa;0
30;5;1,6;Iris-setosa;0
31;5;1,6;Iris-setosa;0
32;5,2;1,5;Iris-setosa;0
33;5,2;1,4;Iris-setosa;0
34;4,7;1,6;Iris-setosa;0
35;4,8;1,6;Iris-setosa;0
36;5,4;1,5;Iris-setosa;0
37;5,2;1,5;Iris-setosa;0
38;5,5;1,4;Iris-setosa;0
39;4,9;1,5;Iris-setosa;0
40;5;1,2;Iris-setosa;0
41;5,5;1,3;Iris-setosa;0
42;4,9;1,5;Iris-setosa;0
43;4,4;1,3;Iris-setosa;0
44;5,1;1,5;Iris-setosa;0
45;5;1,3;Iris-setosa;0
46;4,5;1,3;Iris-setosa;0
47;4,4;1,3;Iris-setosa;0
48;5;1,6;Iris-setosa;0
49;5,1;1,9;Iris-setosa;0
50;4,8;1,4;Iris-setosa;0
51;5,1;1,6;Iris-setosa;0
52;4,6;1,4;Iris-setosa;0
53;5,3;1,5;Iris-setosa;0
54;5;1,4;Iris-setosa;0
55;7;4,7;Iris-versicolor;1
;;;;
2;6,9;4,9;Iris-versicolor;1
3;5,5;4;Iris-versicolor;1
4;6,5;4,6;Iris-versicolor;1
5;5,7;4,5;Iris-versicolor;1
6;6,3;4,7;Iris-versicolor;1
7;4,9;3,3;Iris-versicolor;1
8;6,6;4,6;Iris-versicolor;1
9;5,2;3,9;Iris-versicolor;1
10;5;3,5;Iris-versicolor;1
11;5,9;4,2;Iris-versicolor;1
12;6;4;Iris-versicolor;1
13;6,1;4,7;Iris-versicolor;1
14;5,6;3,6;Iris-versicolor;1
15;6,7;4,4;Iris-versicolor;1
16;5,6;4,5;Iris-versicolor;1
17;5,8;4,1;Iris-versicolor;1
18;6,2;4,5;Iris-versicolor;1
19;5,6;3,9;Iris-versicolor;1
20;5,9;4,8;Iris-versicolor;1
21;6,1;4;Iris-versicolor;1
22;6,3;4,9;Iris-versicolor;1
23;6,1;4,7;Iris-versicolor;1
24;6,4;4,3;Iris-versicolor;1
25;6,6;4,4;Iris-versicolor;1
26;6,8;4,8;Iris-versicolor;1
27;6,7;5;Iris-versicolor;1
28;6;4,5;Iris-versicolor;1
29;5,7;3,5;Iris-versicolor;1
30;5,5;3,8;Iris-versicolor;1
31;5,5;3,7;Iris-versicolor;1
32;5,8;3,9;Iris-versicolor;1
33;6;5,1;Iris-versicolor;1
34;5,4;4,5;Iris-versicolor;1
35;6;4,5;Iris-versicolor;1
36;6,7;4,7;Iris-versicolor;1
37;6,3;4,4;Iris-versicolor;1
38;5,6;4,1;Iris-versicolor;1
39;5,5;4;Iris-versicolor;1
40;5,5;4,4;Iris-versicolor;1
41;6,1;4,6;Iris-versicolor;1
42;5,8;4;Iris-versicolor;1
43;5;3,3;Iris-versicolor;1
44;5,6;4,2;Iris-versicolor;1
45;5,7;4,2;Iris-versicolor;1
46;5,7;4,2;Iris-versicolor;1
47;6,2;4,3;Iris-versicolor;1
48;5,1;3;Iris-versicolor;1
49;5,7;4,1;Iris-versicolor;1
